node_type_id model_type morphology dynamics_params rotation_angle_zaxis population pop_name location ei model_processing model_template
395830185 biophysical Scnn1a-Tg3-Cre_Ai14-177300.01.02.01_491771068_m.swc 395830185_fit.json -3.6468782660000003 v1 e4Scnn1a VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
396608557 biophysical Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc 396608557_fit.json -2.7741736230000003 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
396968721 biophysical Gad2-IRES-Cre_Ai14-177637.02.02.01_491771124_m.swc 396968721_fit.json -2.8221967639999996 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
397351623 biophysical Nr5a1-Cre_Ai14-177834.02.01.01_491458970_m.swc 397351623_fit.json -2.745441809 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
422738880 biophysical Nr5a1-Cre_Ai14-178521.04.02.01_492100683_m.swc 422738880_fit.json -3.6308866269999998 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
464188580 biophysical Htr3a-Cre_NO152_Ai14-178910.03.01.01_491120333_m.swc 464188580_fit.json -3.90640053 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
464198958 biophysical Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc 464198958_fit.json -4.354100786 v1 i5Sst VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
464212183 biophysical Sst-IRES-Cre_Ai14-165865.05.02.01_491119537_m.swc 464212183_fit.json -2.525770936 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
466245544 biophysical Pvalb-IRES-Cre_Ai14-170929.04.01.01_491458275_m.swc 466245544_fit.json -3.727569786 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
466632464 biophysical Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc 466632464_fit.json 0.20112049699999998 v1 e6Ntsr1 VisL6 e aibs_perisomatic ctdb:Biophys1.hoc
466664172 biophysical Sst-IRES-Cre_Ai14-179870.04.01.01_491120344_m.swc 466664172_fit.json -3.581464823 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
467782778 biophysical Scnn1a-Tg2-Cre_Ai14-176961.05.01.01_491771079_m.swc 467782778_fit.json -3.3322939060000003 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
468120757 biophysical Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc 468120757_fit.json -3.568498028 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
468193142 biophysical Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc 468193142_fit.json -3.075361913 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
469610831 biophysical Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc 469610831_fit.json -3.6304025689999997 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
469753383 biophysical Htr3a-Cre_NO152_Ai14-178904.04.01.01_491120305_m.swc 469753383_fit.json -3.207681969 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
469793303 biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc 469793303_fit.json -3.3562267830000003 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
469798159 biophysical Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc 469798159_fit.json -2.744777652 v1 e4Scnn1a VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
471077468 biophysical Pvalb-IRES-Cre_Ai14-180633.03.02.01_500919203_m.swc 471077468_fit.json -2.563890388 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
471077857 biophysical Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc 471077857_fit.json -2.8648694089999998 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
471085676 biophysical Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc 471085676_fit.json -3.397520632 v1 i5Pvalb VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
471087830 biophysical Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc 471087830_fit.json -3.3976733169999997 v1 i6Pvalb VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
471129934 biophysical Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc 471129934_fit.json -2.527764895 v1 e5Rbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
471143169 biophysical Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc 471143169_fit.json -3.345460727 v1 e5Rbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
471410185 biophysical Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc 471410185_fit.json -2.060192672 v1 e6Ntsr1 VisL6 e aibs_perisomatic ctdb:Biophys1.hoc
471758398 biophysical Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc 471758398_fit.json -3.055433991 v1 e5Rbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
471767045 biophysical Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc 471767045_fit.json -3.90223165 v1 e5Rbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
471786879 biophysical Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc 471786879_fit.json -3.8440365880000003 v1 e6Ntsr1 VisL6 e aibs_perisomatic ctdb:Biophys1.hoc
471789504 biophysical Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc 471789504_fit.json -2.840192782 v1 e6Ntsr1 VisL6 e aibs_perisomatic ctdb:Biophys1.hoc
471819401 biophysical Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc 471819401_fit.json -3.847567702 v1 e6Ntsr1 VisL6 e aibs_perisomatic ctdb:Biophys1.hoc
473016550 biophysical Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc 473016550_fit.json -3.6413300630000003 v1 i4Sst VisL4 i aibs_perisomatic ctdb:Biophys1.hoc
473020156 biophysical Rorb-IRES2-Cre-D_Ai14-181710.05.02.01_491771275_m.swc 473020156_fit.json -3.6370143880000003 v1 e4Rorb VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
473540161 biophysical Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc 473540161_fit.json -3.623284892 v1 i23Sst VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
473543792 biophysical Sst-IRES-Cre_Ai14-182533.04.02.01_491119394_m.swc 473543792_fit.json -3.7609074000000002 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
473564515 biophysical Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc 473564515_fit.json -2.618299327 v1 i6Sst VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
473601979 biophysical Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc 473601979_fit.json -2.821210063 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
473943881 biophysical Htr3a-Cre_NO152_Ai14-182494.05.01.01_492100793_m.swc 473943881_fit.json -2.943679781 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
474267418 biophysical Htr3a-Cre_NO152_Ai14-182497.03.01.01_491119305_m.swc 474267418_fit.json -2.429069517 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
474626527 biophysical Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc 474626527_fit.json -3.7708270789999996 v1 i4Htr3a VisL4 i aibs_perisomatic ctdb:Biophys1.hoc
